id,name,issue_year,main_building_material
1a53f102-103b-48c7-818e-1153b0e0f3c2,Generic rubber shirt,2012,Fiber
9311b677-90f8-41d3-b475-8e8ced2edf01,Licensed pizza,2005,Steel
ecb65c3e-dace-4ae9-9ca3-cce5ecd9b01d,Rubber car,2003,Metal
85b68f5f-402b-4e1d-8102-fab8d6338beb,New cotton hat,2006,Plastic PBT
9224f975-5e17-4378-b1d0-e10a92357248,Fish,2018,Aluminum
fb3f7e34-00cc-4fb4-bdae-0384ca69a649,Concrete bacon,2019,Glass Fiber
8af26947-48ad-4986-a7e7-dca5b037d24b,Rustic wooden shoes,2005,Aluminum
0beb5f13-9841-4eff-8286-afaa7a610b12,Fish,2019,Glass Fiber
00d9b118-2518-4e79-87f8-663a4aca25e7,Handmade granite shirt,2002,Fiber
1f4f0dc7-d9c1-4477-b1a2-0e84c7a3b2f6,Gloves,2001,Fiber
fa8c60e3-c97e-4072-a878-89067d20c120,Incredible chips,2007,Plastic PBT
6b88a642-b14a-4454-ae00-9e8f0b3d18bd,Bacon,2011,Glass Fiber
2096a609-139b-45ce-a11b-1d0b28b9f1ad,Frozen keyboard,2016,Wood
e5dd777a-81d6-4d78-b3f3-cb41acca982c,Pizza,2020,Fiber
7f71e48b-c3ba-4d68-9994-60cf9ca11a68,Concrete chicken,2009,Wood
87f036a6-7341-4db5-8b22-3fb02809d31d,Mouse,2019,Wood
3ee3cedd-433e-43c6-850d-2b4c08f489b6,Bacon,2014,Metal
ef7a34fb-fdbf-4979-a3e0-7f0031078607,Used soft shoes,2013,Steel
7c08e7f8-1aa3-42a4-8f23-e9d4638e4abc,Tasty wooden towels,2014,Plastic ABS
e0d8309f-110f-4cc8-8fcc-f8086c0a1bc6,Tuna,2006,Fiber
5e72d22c-1112-4975-8c7e-24102bbf5f0d,Bike,2021,Plastic ABS
bfd2cb3a-3c83-4ff0-9930-1ce2595f504d,Metal pants,2019,Wood
36c770d7-4a90-44c9-90f0-6af683345425,Car,2004,Plastic PBT
e7ed7e24-acbb-42f5-89f5-80845ae4150f,Rubber computer,2016,Wood
96c4b764-cbbb-4acf-b081-ca781e4e6871,Fantastic rubber sausages,2010,Wood
df7af78d-9522-492e-83f1-a82014c68174,Salad,2015,Plastic PBT
d4c79c4b-7708-4512-98cd-343b069e535e,Awesome fresh mouse,2021,Plastic POM
7b8052c1-5d95-4f29-bb03-c77250225883,Sleek frozen cheese,2007,Wood
91e576d0-e533-4212-ae9c-4827d0d9d983,Wooden chair,2003,Glass Fiber
e8cf4362-91b0-46d6-9585-df4ccdf886e2,Sleek plastic towels,2005,Fiber
ca6f5cfe-31c5-414b-b4a0-58468f0230d3,Licensed pizza,2011,Glass Fiber
00caab7c-d598-4056-9e51-9f06d8c3d36a,New mouse,2015,Plastic ABS
8f3731cb-cc17-4394-bb10-8f6eb59a37bc,Refined wooden bike,2000,Aluminum
3945c5c1-8423-422a-ad10-1abb5ff99c58,Intelligent pants,2019,Glass Fiber
d4197e24-2764-4854-97c8-282217830878,Bike,2005,Plastic PBT
7287cc99-520b-484d-ae7c-cccf8201df21,Gently used wooden chips,2020,Plastic ABS
b16997c0-95d2-4af7-bb15-9429b20e4ae7,Pizza,2022,Glass
60e0035a-9f93-4886-92c5-c63424efebf0,Practical metal salad,2020,Wood
707c40b7-33dd-4ba6-898a-f81c600bed2f,Handcrafted rubber computer,2001,Fiber
0dae3df3-07fa-4a0e-a9cc-285fa9cbb044,Ergonomic cotton salad,2017,Fiber
9ada4505-86f7-4d35-8bf8-9cd30a8233f1,Practical frozen chair,2009,Plastic POM
55c6a106-369b-45c4-9ea5-e483ffaf37b3,Steel tuna,2004,Steel
aa23bd1d-0c88-478e-bfe1-452d91ed026c,Keyboard,2016,Plastic ABS
48e97143-e20d-4a40-8c85-6e76a0fa8acd,Handmade table,2012,Aluminum
60188cad-fb63-4af2-92c5-9baefeee8ebb,Handmade plastic chicken,2020,Wood
ae0b77ff-914d-41b6-9ea2-def230bb18db,Practical cotton pizza,2019,Plastic POM
f90ad277-f30e-46b8-87f4-8aa72ff7d4c5,Frozen shoes,2009,Glass Fiber
8f792168-6459-488d-af71-bbf77e4449e3,Fresh ball,2021,Aluminum
ae03b285-0c31-42bb-96e1-42d574359de2,Shoes,2016,Wood
37ee955d-76ed-47a3-80dd-b8743d7d3b20,Unbranded metal table,2018,Glass Fiber
235becf9-bbd5-400d-bf70-31a987239252,Car,2011,Plastic ABS
fec9164d-6985-4e35-a55f-0c5ce770206c,Refined plastic cheese,2005,Plastic PBT
fb823b3c-ea07-4690-be1f-d8246941e17e,Sausages,2019,Metal
5b9ab90a-43b9-468c-ad34-6e27fdf2bda7,Salad,2016,Fiber
637b899f-5ecd-4017-902b-d0f7a4df6c65,Used keyboard,2000,Aluminum
f304fa90-4ca2-4008-afa1-ef722edb1c12,Rubber shirt,2007,Glass Fiber
