id,product_id,status_,employee_id,company_cost,description_,processing_started,processing_finished
0b9b6a68-9f61-4642-84f7-b3d6c6356e4e,73cda2e0-3ce5-40a4-b547-f2d782c87d7c,Pending,63e8b106-05a1-4451-9712-6648db4d62a2,252.68,Wiatr gotować gniew podstawowy mąż bronić dość.,2004-06-05 00:00:00,2004-06-27 00:00:00
e0254221-90ff-42e6-a674-3d7b213d086c,529debae-062e-4d81-8d99-4723a9048609,Pending,4fb37326-8ccd-4425-80e9-d3719124eb64,392.95,Dwudziesty w celu łuk królestwo ważny.,2017-08-14 00:00:00,2017-08-21 00:00:00
1896eac5-36a9-48a6-8106-8d64a712bfbd,96863947-dac2-40d2-b728-df382ef4e89a,Pending,09d335b5-fbe6-4980-b770-29c34bd40ed6,298.18,W Celu drewniany myśleć pomysł prawo przeprowadzać los struktura.,2001-01-20 00:00:00,2001-02-05 00:00:00
8a62b2c5-eb29-43e6-8963-1df52082dc86,75a0f149-446b-40c1-bc1a-c7666080d35e,Canceled,c1c1e5a5-101b-4988-bc8f-52caba25e28d,475.42,Spadek ksiądz wybory róg dwudziesty.,2000-10-27 00:00:00,2000-11-01 00:00:00
8879a9b2-7cd6-4ac4-9502-4cbe937dcb00,f100c18e-d044-4603-9566-6914de78392d,In Progress,d61809df-a731-4cd4-971f-0bd5a1222ae8,181.83,Stworzyć alkohol klasa zmęczony Niemiec Pan.,2017-11-12 00:00:00,2017-12-10 00:00:00
d34897cc-e3c6-4883-b608-4480b105ed42,ec0813f9-4486-42e2-910c-b2536513c04d,Canceled,630c653f-ab26-4357-ba82-fbcb5b6cc4b6,158.56,Wielki sztuczny Słońce ręka na zewnątrz ładny imię.,2002-03-12 00:00:00,2002-03-29 00:00:00
29d95658-8e7b-44a9-b689-f34635c61cfc,f57850f4-e3d2-4485-a943-d9946fe5b3dd,In Progress,fb734814-82f0-401a-b305-2ea635b92c88,422.96,Planeta obecnie nie ma tysiąc.,2014-07-27 00:00:00,2014-08-04 00:00:00
e26f51bd-d05a-42e8-b75b-c0b7b783fdbd,ad2da27c-8925-4b4e-bf46-41b7d1d8cf66,Canceled,40870a8e-e4cf-41ba-b936-18f92d01b8d6,123.82,Nadawać ładny kościół działać podróżować.,2024-08-27 00:00:00,2024-09-12 00:00:00
163d7e75-51d3-40d9-a2cb-ec5ff1a3c165,a0963458-67ad-4dfa-8fd7-60167d3e8b2f,In Progress,8a4058e3-e88e-422e-9c21-f714fcf12654,183.75,Wielkość trawa otwór chodzić położenie.,2020-11-16 00:00:00,2020-11-21 00:00:00
0592357d-5a5d-4163-8dba-cb965184a1da,4db82adb-dbeb-4529-88b1-48a6eea9639b,In Progress,40acec5c-7f13-4b87-8156-e1b24b7aeb4f,274.17,Pająk węgiel sobota pożar nazwa gospodarczy powstawać.,2021-08-31 00:00:00,2021-09-25 00:00:00
0df89ce0-af7a-4682-bd0c-d931539e9ab6,8fa60c44-7f76-4135-867e-7b131504ccba,In Progress,3658b7cb-f2f3-4577-8fa2-a6c360474a71,364.73,Brzuch przyszłość wspólny wynosić reguła mądry powietrze luty.,2017-01-22 00:00:00,2017-02-13 00:00:00
406081b6-8201-4edb-8c1b-2311e7ee2cb1,3a14f1d2-2194-4822-9995-30d1f082ae2c,Completed,67fd244b-c602-422b-8b36-b8040904ae29,357.13,Państwo bułgarski kierować.,2010-06-26 00:00:00,2010-07-02 00:00:00
9911bc06-2564-4056-bf8f-7fb7091b2e22,eede1c88-6a2f-4c88-902f-c1aab4ed3413,Pending,fb734814-82f0-401a-b305-2ea635b92c88,413.33,Wielka Brytania pomagać produkować słoń orzeł krzyż stać.,2006-05-21 00:00:00,2006-05-22 00:00:00
62c00616-a398-4481-a897-79a2b5be6b17,54448bd4-307c-4468-9887-7c77a1f8f9c7,Pending,ca1ab7b4-b61f-44f2-93d5-c2cf946bac90,294.93,Płakać prawie gałąź odnosić się wydarzenie dziewięćdziesiąt.,2007-09-02 00:00:00,2007-09-06 00:00:00
c3d174b6-57a6-46a7-8848-fc2baa27ed60,f29bc8ce-c8c2-43e2-ab37-e6755c18f9f1,Pending,6f6d77b0-823f-468f-ad66-a8fa84b130b5,355.96,Płeć proszę kolumna zwrot skala.,2001-04-01 00:00:00,2001-04-26 00:00:00
c94072fd-92b5-4905-8274-f3d0880e60c7,e19b8de2-1c76-4a34-911e-1f8cf1bbcad8,Completed,3658b7cb-f2f3-4577-8fa2-a6c360474a71,191.69,Doprowadzić na przykład całość podstawa zjeść funkcja sam.,2002-01-20 00:00:00,2002-02-10 00:00:00
edcf72a7-1aa9-401c-89d8-88bbf3e04ae7,ded3c130-af06-4527-831a-7926406a8eea,Completed,8a4058e3-e88e-422e-9c21-f714fcf12654,318.9,Zespół głośny powolny system moment żaden.,2021-11-13 00:00:00,2021-11-24 00:00:00
210c8dd3-6b82-41c6-9cfd-7aee9d376935,4d9c69d6-6fa1-40c8-907d-811a3e3109fd,Canceled,ca1ab7b4-b61f-44f2-93d5-c2cf946bac90,450.15,! nawet udział piątek wzdłuż strach.,2006-09-27 00:00:00,2006-10-19 00:00:00
f818a6d0-5b54-45f9-a5fa-e7b7ac62bd99,eede1c88-6a2f-4c88-902f-c1aab4ed3413,Completed,906a0e1f-6669-487f-b3ea-d1ce586c28f4,244.0,Szkoda lub lek brudny.,2010-04-11 00:00:00,2010-04-28 00:00:00
f72cf7de-4e03-4b25-8521-f1d60c4f35cb,04594464-09ec-4b80-9c71-4d64b3fe9a43,Completed,6f6d77b0-823f-468f-ad66-a8fa84b130b5,390.31,Dzielić korzeń przyczyna pogoda dziewczyna osiągnąć nowy możliwość.,2007-11-12 00:00:00,2007-12-09 00:00:00
1895b347-a266-4fe2-885a-d54b08551f34,358a1965-8336-46e7-a0ab-3f62264c5d03,Canceled,647b7f97-d938-40bb-85a1-4b920c53f171,74.57,Szczęśliwy kierunek duży wskazywać.,2009-01-24 00:00:00,2009-01-26 00:00:00
db827fd2-7da8-46b1-bd0a-264067e003e0,05f36223-2563-46a2-aba3-06cc66a7effd,In Progress,91c56975-ba2b-4b42-8320-872e4d665b35,306.32,Wskazywać wybitny podczas równy.,2007-06-14 00:00:00,2007-06-28 00:00:00
209d5bf7-fba3-4024-9e46-3b89a465e49e,fdce7955-12c8-4b64-b5ce-f2b271e3ca2e,Pending,9136c720-8a75-49d3-9160-599a5194d033,235.07,Owoc ciemność piętnaście.,2020-09-15 00:00:00,2020-10-04 00:00:00
abaafa72-b253-4b74-8c0e-85ff56c65c78,e19b8de2-1c76-4a34-911e-1f8cf1bbcad8,Completed,40870a8e-e4cf-41ba-b936-18f92d01b8d6,316.05,Minister zgodnie ciągnąć dym sobota potrafić abugida tablica.,2015-06-15 00:00:00,2015-07-15 00:00:00
4544168c-d4cc-44c2-9d50-4554fe754c9d,885d79b9-f02c-4b86-815c-7754f233662f,Completed,8c9b4fb6-aa67-4378-9347-607345a2696e,123.91,Ilość biuro karta wieża polegać gospodarczy odczuwać.,2005-07-02 00:00:00,2005-07-29 00:00:00
c2ca0fca-9acb-4efe-9cf2-9e5f723f06b2,e19b8de2-1c76-4a34-911e-1f8cf1bbcad8,Canceled,8a4058e3-e88e-422e-9c21-f714fcf12654,121.76,Praktyka nieprzyjemny prezent papier pies w końcu rada.,2019-08-03 00:00:00,2019-08-16 00:00:00
69b79365-6ac8-4cf1-a93a-adcaa7c4eaa4,67c391cb-923e-490f-a88a-23fda10427b8,Completed,7bbc060c-1c76-45a7-b768-62c67b15efe8,300.48,Wybitny lotnisko wojenny przepis zmieniać.,2004-08-28 00:00:00,2004-09-08 00:00:00
fe9e3d7b-988b-4ed3-a6eb-556fa3f1a205,349fdad6-8abf-4ba5-8283-a37e13588af2,Canceled,9136c720-8a75-49d3-9160-599a5194d033,50.33,Zwrot inny śmiech kamień bóg leczenie matematyka odwaga.,2019-06-19 00:00:00,2019-07-10 00:00:00
dafeaead-8e98-498f-8c91-4fbc15e1d066,fdce7955-12c8-4b64-b5ce-f2b271e3ca2e,Pending,0964e759-1024-4573-955f-9f563f621ef0,162.28,Odległość kuchnia lotniczy my.,2016-06-25 00:00:00,2016-06-27 00:00:00
4ce02cf8-3ab4-450b-9e96-2119dc3f98ba,3a14f1d2-2194-4822-9995-30d1f082ae2c,In Progress,9136c720-8a75-49d3-9160-599a5194d033,177.53,Świeca jasny należeć naprawdę ciepły.,2015-03-30 00:00:00,2015-04-06 00:00:00
fb0839de-f580-4e53-b175-d47219f00d0b,b8c8fa25-11d5-4501-99a8-f23974e334f1,Pending,40acec5c-7f13-4b87-8156-e1b24b7aeb4f,396.28,Lata badanie wybrać broda.,2005-01-15 00:00:00,2005-02-10 00:00:00
1c269ef9-a77e-4d0a-af27-71e687763fd0,f30a3037-bd11-4e5c-8faa-ecf39c587c12,Canceled,83b7d046-d967-4665-9648-1e8a4f2c3cd9,367.2,Zdrowie służyć efekt wartość.,2011-04-07 00:00:00,2011-04-12 00:00:00
ace1519b-8c65-4f01-b81b-cf74cba0d6a4,3a14f1d2-2194-4822-9995-30d1f082ae2c,Canceled,de2b68fb-c3bc-4445-8eff-e9e4d98c883b,218.74,Samica tysiąc biskup zawodnik działalność typowy.,2021-04-02 00:00:00,2021-04-30 00:00:00
3a419bef-830a-4883-a68f-60e3a5ddf8bd,75f79a8e-0a5a-4b18-a7ce-bcf2cbb20e1d,In Progress,4140d862-259f-47cd-a3d6-132b1e503153,249.01,Większość 1000 połączenie wilk głośny czerwiec.,2008-05-03 00:00:00,2008-05-17 00:00:00
d8ced198-2886-4102-8398-57a8e27e4013,af9f6995-e2a4-4486-8cc7-9fa6402925cd,Pending,c1c1e5a5-101b-4988-bc8f-52caba25e28d,421.45,Zrobić walczyć kraina trwać otwierać dostęp.,2000-09-03 00:00:00,2000-09-04 00:00:00
f3b676e7-add8-4022-a043-54679a45c9b5,fce778e1-6df8-426c-b5f8-7e5d76363be0,Canceled,ab98b005-02dc-48df-aa5a-cea2fe7721ad,360.27,Padać artysta piękny.,2004-02-24 00:00:00,2004-03-24 00:00:00
e9c3fcc9-e808-465c-a2c7-739886724c79,3730dd9d-05b9-463f-b6b2-821c38ca5fe4,Canceled,e89d189f-323b-4c00-8204-fe42493bb9ff,368.81,Nieprzyjemny zamek leżeć kolor żaden owca Austria.,2012-09-08 00:00:00,2012-09-24 00:00:00
ca2743a8-194c-4e7e-9c48-44eb79954544,a0be220b-de02-47d3-9cc5-b9ac820ee50c,In Progress,44eab77b-f767-4d2f-823f-1d487224f342,94.2,Temperatura nastrój istnieć pojawiać się funkcja razem.,2011-08-16 00:00:00,2011-08-23 00:00:00
417d5e7a-05fa-414c-8117-aa1e2c8e3bb8,54448bd4-307c-4468-9887-7c77a1f8f9c7,Canceled,0c3bc807-f0f8-4adf-83ce-16c8c447c8a6,305.91,Przestać odwaga zima dużo słodki.,2022-02-23 00:00:00,2022-03-02 00:00:00
1948b238-5cc9-4bf4-9c11-41faf5eedf62,010a138b-c0f2-4482-a74d-fe5a840e4a9e,In Progress,e89d189f-323b-4c00-8204-fe42493bb9ff,73.91,Świat postać oznaczać biuro prąd wina.,2005-07-11 00:00:00,2005-07-27 00:00:00
1bf6e8e8-87bd-430e-88d9-1c539b8264eb,911e7802-f7e3-4cf6-b382-a12e20ee1418,Pending,510b3361-5b9c-439e-a837-c8642f20bd6c,464.18,Gleba teraz jakość okrągły szukać.,2018-11-27 00:00:00,2018-12-03 00:00:00
3521a750-5ebb-4836-8517-bf479f2abe42,755a83e7-7a3f-4631-875b-f146f2e61b75,Completed,0964e759-1024-4573-955f-9f563f621ef0,106.76,Okoliczność skóra św. krowa.,2016-10-26 00:00:00,2016-11-01 00:00:00
cb83dfc3-40eb-49e3-a805-c4b892445273,358a1965-8336-46e7-a0ab-3f62264c5d03,Canceled,63e8b106-05a1-4451-9712-6648db4d62a2,410.62,Zimny rzadko sześćdziesiąt prawny owoc.,2007-05-28 00:00:00,2007-06-22 00:00:00
